Gen ind   P      D     Cost
1   1    8148    4529   -4.657572
1   2    1270    4567   -14.810664
1   3    6324     488   -7.703135
1   4    2785    2735   -5.753000
1   5    9576    4825   -4.592769
1   6    1577    4853   -12.815766
1   7    9572    2427   -5.050859
1   8    8003     710   -7.207022
1   9    4218    4579   -5.734266
1   10    7923    4798   -4.696092
1   11    6558     179   -15.676455
1   12    8492    4670   -4.641006
1   13    6788    3789   -4.721961
1   14    7432    1962   -5.062808
1   15    6555     856   -6.213952
1   16    7061     160   -18.623171
1   17    2770     231   -7.636493
1   18     972    4118   -17.176878
1   19    6949    1586   -5.259747
1   20    9503     173   -23.326387
1   21    4388    1908   -4.895612
1   22    7656    3976   -4.667202
1   23    1869    2449   -6.833339
1   24    4456    3232   -5.049987
1   25    7094    3774   -4.696613
2   1    9576    4825   -4.592769
2   2    2770     231   -7.636493
2   3    9577    4827   -4.592743
2   4    7432    1962   -5.062808
2   5    6949    1586   -5.259747
2   6    6788    3789   -4.721961
2   7     845    2449   -12.869190
2   8    9572    2427   -5.050859
2   9    9572    2395   -5.067703
2   10    4456    3232   -5.049987
2   11    9576    4825   -4.592769
2   12    6555     856   -6.213952
2   13    4218    2531   -4.944878
2   14    9572    2363   -5.084975
2   15    7923    4798   -4.696092
2   16    4388    1908   -4.895612
2   17    7636    4529   -4.700428
2   18    6788    3789   -4.721961
2   19    6555     856   -6.213952
2   20    2770     231   -7.636493
2   21    4901    1586   -4.997922
2   22    2785    2751   -5.764603
2   23    7092    3774   -4.696753
2   24    8148    4593   -4.661070
2   25    3917    2449   -5.002783
3   1    9577    4827   -4.592743
3   2    9572    2427   -5.050859
3   3    6555     860   -6.204218
3   4    9572    2427   -5.050859
3   5    7432    1962   -5.062808
3   6    7923     702   -7.212078
3   7    2785    2751   -5.764603
3   8    4460    3232   -5.048712
3   9    7432    1962   -5.062808
3   10    6788    3789   -4.721961
3   11    2770     231   -7.636493
3   12    4448    3232   -5.052548
3   13    11628    4825   -4.573031
3   14    8148    4593   -4.661070
3   15    3827    4798   -6.186111
3   16    4456    3232   -5.049987
3   17    13672    4825   -4.619256
3   18    7636    4529   -4.700428
3   19    7636     433   -9.082120
3   20    6693    1586   -5.219633
3   21    2770     231   -7.636493
3   22    6555     856   -6.213952
3   23    4901    1586   -4.997922
3   24    9588    2363   -5.086806
3   25    7092    7870   -5.591183
4   1    11628    4825   -4.573031
4   2    3794    4798   -6.218380
4   3    6555     856   -6.213952
4   4    7923     702   -7.212078
4   5    7923     702   -7.212078
4   6    4460    3232   -5.048712
4   7    7094    7870   -5.590364
4   8    2785    2751   -5.764603
4   9    3827    6846   -7.745991
4   10    6555     860   -6.204218
4   11    4460    3232   -5.048712
4   12    11628    4857   -4.570354
4   13    9588    2363   -5.086806
4   14    11756    4825   -4.574412
4   15    8148    12785   -6.866545
4   16    11628    4825   -4.573031
4   17    13664    4825   -4.618991
4   18    4901    1586   -4.997922
4   19    4645    1586   -4.980819
4   20    7432    1962   -5.062808
4   21    11620    2427   -5.290759
4   22    6693    1586   -5.219633
4   23    13672    4825   -4.619256
4   24    9577    4827   -4.592743
4   25    11628    5849   -4.532015
5   1    11628    5849   -4.532015
5   2    13416    4825   -4.611049
5   3    13672    4825   -4.619256
5   4    11756    4825   -4.574412
5   5    11628    5849   -4.532015
5   6    4052    12529   -12.411615
5   7    3794    4798   -6.218380
5   8    6555     888   -6.138302
5   9    4901    1586   -4.997922
5   10    11628    5881   -4.532028
5   11    6181    1586   -5.143818
5   12    6693    1586   -5.219633
5   13    3798    4798   -6.214429
5   14    9588    3387   -4.720480
5   15    11628    4825   -4.573031
5   16    7094    7870   -5.590364
5   17     364    3232   -29.006094
5   18    3827    2750   -5.117330
5   19    11628    6105   -4.533676
5   20    4645    1586   -4.980819
5   21    12652    3232   -4.976511
5   22    13408    4825   -4.610802
5   23    11628    5321   -4.541361
5   24    4460    3232   -5.048712
5   25    11756    4825   -4.574412
6   1    11628    5849   -4.532015
6   2    11628    4825   -4.573031
6   3    6555     888   -6.138302
6   4    3794    4798   -6.218380
6   5    11628    4825   -4.573031
6   6    11628    5321   -4.541361
6   7    12588    3232   -4.971055
6   8    11628    5849   -4.532015
6   9    6181    1586   -5.143818
6   10    11628    4825   -4.573031
6   11    3827    2750   -5.117330
6   12    6555     888   -6.138302
6   13    7094    7870   -5.590364
6   14    3782    4798   -6.230298
6   15    11628    4825   -4.573031
6   16    6245    1586   -5.152920
6   17    6181    1586   -5.143818
6   18    6693    1584   -5.221263
6   19    11724    4313   -4.634533
6   20    3699    2750   -5.168684
6   21    13408    4761   -4.620450
6   22    11628    4825   -4.573031
6   23    4460    3232   -5.048712
6   24    6693    1586   -5.219633
6   25    6693    1586   -5.219633
7   1    11628    5849   -4.532015
7   2    11628    5849   -4.532015
7   3    6181    1586   -5.143818
7   4    11756    5321   -4.540388
7   5    3699    2750   -5.168684
7   6    11628    5849   -4.532015
7   7    11628    4825   -4.573031
7   8    11628    4825   -4.573031
7   9    6181    1586   -5.143818
7   10    6555     888   -6.138302
7   11    3827    2750   -5.117330
7   12    6693    1584   -5.221263
7   13    11628    4825   -4.573031
7   14    11628    4825   -4.573031
7   15    6693    1586   -5.219633
7   16    6555     888   -6.138302
7   17    11724    4312   -4.634689
7   18    6555     888   -6.138302
7   19    11628    4825   -4.573031
7   20    6181     562   -7.154600
7   21    6949    1586   -5.259747
7   22    11724    4313   -4.634533
7   23    3782    4798   -6.230298
7   24    11628    4825   -4.573031
7   25    3270    4798   -6.847657
8   1    11628    5849   -4.532015
8   2    11628    5849   -4.532015
8   3    11628    6105   -4.533676
8   4    6183    1842   -4.988837
8   5    11628    4825   -4.573031
8   6    11630    5849   -4.531962
8   7    6181    1650   -5.099359
8   8    11628    4825   -4.573031
8   9    11628    4859   -4.570190
8   10    6555     888   -6.138302
8   11    6437    1594   -5.174777
8   12    6693    1592   -5.214765
8   13    11752    5321   -4.540414
8   14    11596    4825   -4.572725
8   15    10604    5849   -4.570527
8   16    16364    5321   -4.633031
8   17    11628    4827   -4.572861
8   18    11628    4816   -4.573801
8   19    11724    4313   -4.634533
8   20    3270    4766   -6.819839
8   21    6693    1584   -5.221263
8   22    11628    4809   -4.574404
8   23    11628    4825   -4.573031
8   24    6693    1594   -5.213150
8   25    3436    4825   -6.643145
9   1    11630    5849   -4.531962
9   2    11628    4809   -4.574404
9   3    6693    4656   -4.844174
9   4    10604    5849   -4.570527
9   5    11628    5849   -4.532015
9   6    11628    4825   -4.573031
9   7    11628    5849   -4.532015
9   8    6180    1650   -5.099230
9   9    6436    1594   -5.174630
9   10    11374    5849   -4.539394
9   11    16364    5321   -4.633031
9   12    11628    6105   -4.533676
9   13    6183    1842   -4.988837
9   14    11596    4825   -4.572725
9   15    11628    5849   -4.532015
9   16    11724    12505   -5.446692
9   17    11628    4859   -4.570190
9   18    11628    5849   -4.532015
9   19    6149    1650   -5.095225
9   20    6693    1592   -5.214765
9   21    11628    1753   -5.896848
9   22    6437    1594   -5.174777
9   23    6183    1842   -4.988837
9   24    11628    4825   -4.573031
9   25    11628    4827   -4.572861
10   1    11630    5849   -4.531962
10   2    6661    1650   -5.164999
10   3    11628    4809   -4.574404
10   4    6436    1650   -5.133393
10   5    16364    5321   -4.633031
10   6    11628    4825   -4.573031
10   7    11628    5849   -4.532015
10   8    11756    4809   -4.575863
10   9    16364    5321   -4.633031
10   10    6183    1842   -4.988837
10   11    6693    4656   -4.844174
10   12    16364    5321   -4.633031
10   13    11628    4827   -4.572861
10   14    11628    5849   -4.532015
10   15    11628    5849   -4.532015
10   16    11628    6105   -4.533676
10   17    11628    5849   -4.532015
10   18    7207    1842   -5.107566
10   19    6148    1650   -5.095096
10   20    11630    5849   -4.531962
10   21    11628    5849   -4.532015
10   22    11596    4825   -4.572725
10   23    11628    5849   -4.532015
10   24    6693    4656   -4.844174
10   25    6693    1720   -5.120712
11   1    11630    5849   -4.531962
11   2    11628    4809   -4.574404
11   3    11630    5849   -4.531962
11   4    10604    5849   -4.570527
11   5    11628    5833   -4.532029
11   6    6148    1778   -5.018554
11   7    6701    4656   -4.842752
